Attributes,Volume,Volume,Volume,Adj Close,Adj Close,Adj Close
Symbols,GSK,PFE,AZN,GSK,PFE,AZN
Date,,,,,,
3/21/2019,2568600,23019500,2434800,38.40245056,39.98091507,41.33057785
3/22/2019,2510400,18614900,3891200,38.41176605,39.50888824,40.98415375
3/25/2019,2105900,18807700,2971700,38.37451935,39.54664993,40.94565964
3/26/2019,2450200,19781100,3106000,38.73767853,40.04699707,41.32095337
3/27/2019,3156700,18458300,3183500,38.85873795,39.66937637,41.04188919
3/28/2019,3448600,16048900,4655900,38.98910141,39.92427826,41.35944748
3/29/2019,2364300,20571000,34782300,38.91461182,40.09420395,38.90559387
4/1/2019,2336200,19302700,8415500,38.93323517,40.44350815,39.71392441
4/2/2019,3132900,17670900,10883100,38.99842453,40.50958633,40.0218544
4/3/2019,2817700,15370400,6320000,38.88667297,40.44350815,39.54070663
4/4/2019,2198600,12325400,5580600,38.82149506,40.34910583,39.00182343
4/5/2019,1954300,14761900,5788800,38.73767853,40.58511353,39.16541672
4/8/2019,2044900,14620800,3169400,38.80286407,40.72672653,39.31938553
4/9/2019,1810200,17860600,4313100,38.63525391,40.44350815,39.15578842
4/10/2019,1916000,12526200,6619000,38.4303894,40.33966064,39.01144791
4/11/2019,2750800,19179200,4514400,38.12309647,39.90539551,38.33783722
4/12/2019,2756700,20245300,7489800,37.80648422,39.37671661,38.02990723
4/15/2019,2170500,17422000,3006100,37.96479416,39.73545837,38.30897141
4/16/2019,2585500,26097700,3334300,37.49919891,38.63091278,37.81820297
4/17/2019,3807300,40239200,4408300,37.22914505,37.64909363,37.30818176
4/18/2019,2670100,47988400,5430300,37.10809326,37.17706299,37.33705139
4/22/2019,1650100,29429700,4253500,36.94979477,36.79944229,37.28893661
4/23/2019,3824800,25305600,4812200,37.45263672,37.21482086,37.23119736
4/24/2019,2864200,20111000,3942000,37.18258667,37.1676178,37.2600708
4/25/2019,2036300,17201200,4729100,37.45263672,37.39419174,37.58724594
4/26/2019,1931100,19025800,7190400,37.62025452,37.73406219,36.5575943
4/29/2019,2065700,22038900,5518600,37.6668129,37.37531662,36.74042892
4/30/2019,5134100,32600000,8666400,38.30002594,38.33825302,36.24003601
5/1/2019,4365500,19642700,5199600,37.62956238,38.48930359,35.94172287
5/2/2019,2390000,19422400,10215000,37.67612457,38.71587753,36.20154572
5/3/2019,2170100,17708500,3217200,37.94617081,39.07462311,36.96175766
5/6/2019,2023000,24642700,3540300,37.7413063,39.32007599,36.90401459
5/7/2019,3161800,26189600,2831200,36.86598206,38.54594803,36.54796982
5/8/2019,2034000,22592000,3193500,37.00566101,38.65923691,36.85590363
5/9/2019,1680000,18721500,3578100,36.93116379,38.70685196,37.01949692
5/10/2019,2573500,16500500,8515700,36.810112,38.78305054,36.23041534
5/13/2019,2329000,26575700,7657400,36.63319016,38.64018631,35.87435913
5/14/2019,2328900,25401100,7164800,36.51212692,38.72590637,36.39400482
5/15/2019,2248400,31803300,4570000,36.85667419,39.19260406,36.25928116
5/16/2019,2584400,24201600,2988700,37.07630157,39.6592865,36.37475586
5/17/2019,1924400,27692300,1716300,37.18939209,39.4973793,36.3555069
5/20/2019,1713400,23009100,3097000,37.1234169,39.61166763,36.12456131
5/21/2019,2231500,27310300,3438800,37.1234169,39.68785858,36.45174408
5/22/2019,2783400,23979700,2945100,37.8868103,39.99264145,37.15421677
5/23/2019,1858700,24189700,5530100,37.68889618,39.92597198,37.20233536
5/24/2019,1701900,14595200,3086600,37.86796188,39.95454407,37.54875946
5/28/2019,2790300,46907600,3807800,36.92550659,39.90692139,36.57683945
5/29/2019,2092300,25517800,3334200,36.64276886,39.73548126,36.11493683
5/30/2019,2171700,16455700,2912900,36.51082611,39.90692139,36.09569168
5/31/2019,2025300,21479400,2623000,36.41657639,39.54499817,35.9705925
